Descrição,Data,Quantidade,PdCusto,PdVenda,Tecido,Estacao
Calça Inverno Lã,2016-05-01,39,30,60,Lã,Inverno
Calça Inverno Malha,2016-05-01,67,28,56,Malha,Inverno
Blusa Inverno Lã,2016-05-01,75,26,52,Lã,Inverno
Bermuda Inverno Moletom,2016-05-01,87,20,40,Moletom,Inverno
Calça Inverno Lã,2016-06-01,93,30,60,Lã,Inverno
Calça Inverno Malha,2016-06-01,38,28,56,Malha,Inverno
Bermuda Inverno Moletom,2016-06-01,26,20,40,Moletom,Inverno
Blusa Inverno Lã,2016-06-01,111,26,52,Lã,Inverno
Camisa Inverno Flanela,2016-06-01,83,24,48,Flanela,Inverno
Cropped Inverno Algodão,2016-06-01,50,14,28,Algodão,Inverno
Saia Inverno Lã,2016-06-01,119,22,44,Lã,Inverno
Short Inverno Moletom,2016-06-01,76,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2016-06-01,109,12,24,Algodão,Inverno
Vestido Inverno Lã,2016-06-01,75,32,64,Lã,Inverno
Saia Inverno Lã,2016-07-01,135,22,44,Lã,Inverno
Vestido Inverno Lã,2016-07-01,126,32,64,Lã,Inverno
T-shirt Inverno Algodão,2016-07-01,66,12,24,Algodão,Inverno
Short Inverno Moletom,2016-07-01,103,18,36,Moletom,Inverno
Cropped Inverno Algodão,2016-07-01,93,14,28,Algodão,Inverno
Camisa Inverno Flanela,2016-07-01,115,24,48,Flanela,Inverno
Blusa Inverno Lã,2016-07-01,45,26,52,Lã,Inverno
Bermuda Inverno Moletom,2016-07-01,95,20,40,Moletom,Inverno
Calça Inverno Malha,2016-07-01,106,28,56,Malha,Inverno
Calça Inverno Lã,2016-07-01,22,30,60,Lã,Inverno
Vestido Primavera Chiffon,2016-08-01,39,30,60,Chiffon,Primavera
T-shirt Primavera Poliéster,2016-08-01,14,10,20,Poliéster,Primavera
Short Primavera Algodão,2016-08-01,67,18,36,Algodão,Primavera
Saia Primavera Seda,2016-08-01,97,14,28,Seda,Primavera
Cropped Primavera Linho,2016-08-01,121,12,24,Linho,Primavera
Blusa Primavera Chiffon,2016-08-01,78,16,32,Chiffon,Primavera
Bermuda Primavera Algodão,2016-08-01,125,18,36,Algodão,Primavera
Calça Primavera Linho,2016-08-01,35,22,44,Linho,Primavera
Calça Primavera Viscose,2016-08-01,25,20,40,Viscose,Primavera
Camisa Primavera Viscose,2016-08-01,75,24,48,Viscose,Primavera
Cropped Primavera Linho,2016-09-01,88,12,24,Linho,Primavera
T-shirt Primavera Poliéster,2016-09-01,76,10,20,Poliéster,Primavera
Short Primavera Algodão,2016-09-01,15,18,36,Algodão,Primavera
Saia Primavera Seda,2016-09-01,74,14,28,Seda,Primavera
Vestido Primavera Chiffon,2016-09-01,38,30,60,Chiffon,Primavera
Camisa Primavera Viscose,2016-09-01,97,24,48,Viscose,Primavera
Bermuda Primavera Algodão,2016-09-01,88,18,36,Algodão,Primavera
Calça Primavera Viscose,2016-09-01,49,20,40,Viscose,Primavera
Blusa Primavera Chiffon,2016-09-01,62,16,32,Chiffon,Primavera
Calça Primavera Linho,2016-09-01,46,22,44,Linho,Primavera
Calça Primavera Viscose,2016-10-01,76,20,40,Viscose,Primavera
Calça Primavera Linho,2016-10-01,107,22,44,Linho,Primavera
Bermuda Primavera Algodão,2016-10-01,49,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2016-10-01,93,16,32,Chiffon,Primavera
Cropped Primavera Linho,2016-10-01,62,12,24,Linho,Primavera
Saia Primavera Seda,2016-10-01,55,14,28,Seda,Primavera
Short Primavera Algodão,2016-10-01,75,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2016-10-01,48,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2016-10-01,62,30,60,Chiffon,Primavera
Camisa Primavera Viscose,2016-10-01,43,24,48,Viscose,Primavera
Vestido Verão Cetim,2016-11-01,138,30,60,Cetim,Verão
Saia Verão Viscose,2016-11-01,80,12,24,Viscose,Verão
T-shirt Verão Poliéster,2016-11-01,59,8,16,Poliéster,Verão
Short Verão Jeans,2016-11-01,86,16,32,Jeans,Verão
Cropped Verão Algodão,2016-11-01,76,10,20,Algodão,Verão
Blusa Verão Seda,2016-11-01,73,18,36,Seda,Verão
Bermuda Verão Jeans,2016-11-01,99,15,30,Jeans,Verão
Calça Verão Cetim,2016-11-01,103,25,50,Cetim,Verão
Calça Verão Tactel,2016-11-01,65,20,40,Tactel,Verão
Camisa Verão Algodão,2016-11-01,63,22,44,Algodão,Verão
Vestido Verão Cetim,2016-12-01,72,30,60,Cetim,Verão
T-shirt Verão Poliéster,2016-12-01,12,8,16,Poliéster,Verão
Short Verão Jeans,2016-12-01,36,16,32,Jeans,Verão
Saia Verão Viscose,2016-12-01,122,12,24,Viscose,Verão
Cropped Verão Algodão,2016-12-01,131,10,20,Algodão,Verão
Camisa Verão Algodão,2016-12-01,74,22,44,Algodão,Verão
Bermuda Verão Jeans,2016-12-01,99,15,30,Jeans,Verão
Calça Verão Cetim,2016-12-01,91,25,50,Cetim,Verão
Calça Verão Tactel,2016-12-01,174,20,40,Tactel,Verão
Blusa Verão Seda,2016-12-01,116,18,36,Seda,Verão
Vestido Verão Cetim,2017-01-01,78,30,60,Cetim,Verão
T-shirt Verão Poliéster,2017-01-01,54,8,16,Poliéster,Verão
Short Verão Jeans,2017-01-01,34,16,32,Jeans,Verão
Saia Verão Viscose,2017-01-01,89,12,24,Viscose,Verão
Cropped Verão Algodão,2017-01-01,60,10,20,Algodão,Verão
Camisa Verão Algodão,2017-01-01,40,22,44,Algodão,Verão
Bermuda Verão Jeans,2017-01-01,64,15,30,Jeans,Verão
Calça Verão Tactel,2017-01-01,51,20,40,Tactel,Verão
Blusa Verão Seda,2017-01-01,134,18,36,Seda,Verão
Calça Verão Cetim,2017-01-01,110,25,50,Cetim,Verão
Calça Verão Tactel,2017-02-01,83,20,40,Tactel,Verão
Calça Verão Cetim,2017-02-01,128,25,50,Cetim,Verão
Bermuda Verão Jeans,2017-02-01,86,15,30,Jeans,Verão
Blusa Verão Seda,2017-02-01,58,18,36,Seda,Verão
Camisa Verão Algodão,2017-02-01,130,22,44,Algodão,Verão
Cropped Verão Algodão,2017-02-01,101,10,20,Algodão,Verão
Saia Verão Viscose,2017-02-01,53,12,24,Viscose,Verão
Short Verão Jeans,2017-02-01,79,16,32,Jeans,Verão
T-shirt Verão Poliéster,2017-02-01,59,8,16,Poliéster,Verão
Vestido Verão Cetim,2017-02-01,44,30,60,Cetim,Verão
Vestido Outono Lã,2017-03-01,113,28,56,Lã,Outono
T-shirt Outono Algodão,2017-03-01,143,10,20,Algodão,Outono
Short Outono Sarja,2017-03-01,43,18,36,Sarja,Outono
Cropped Outono Viscose,2017-03-01,102,12,24,Viscose,Outono
Saia Outono Couro,2017-03-01,66,14,28,Couro,Outono
Blusa Outono Tricô,2017-03-01,71,16,32,Tricô,Outono
Bermuda Outono Jeans,2017-03-01,68,18,36,Jeans,Outono
Calça Outono Algodão,2017-03-01,60,20,40,Algodão,Outono
Calça Outono Sarja,2017-03-01,88,22,44,Sarja,Outono
Camisa Outono Lã,2017-03-01,62,24,48,Lã,Outono
Vestido Outono Lã,2017-04-01,95,28,56,Lã,Outono
T-shirt Outono Algodão,2017-04-01,85,10,20,Algodão,Outono
Short Outono Sarja,2017-04-01,80,18,36,Sarja,Outono
Saia Outono Couro,2017-04-01,60,14,28,Couro,Outono
Cropped Outono Viscose,2017-04-01,70,12,24,Viscose,Outono
Camisa Outono Lã,2017-04-01,110,24,48,Lã,Outono
Bermuda Outono Jeans,2017-04-01,103,18,36,Jeans,Outono
Calça Outono Algodão,2017-04-01,58,20,40,Algodão,Outono
Calça Outono Sarja,2017-04-01,91,22,44,Sarja,Outono
Blusa Outono Tricô,2017-04-01,110,16,32,Tricô,Outono
Short Inverno Moletom,2017-05-01,38,18,36,Moletom,Inverno
Vestido Inverno Lã,2017-05-01,105,32,64,Lã,Inverno
T-shirt Inverno Algodão,2017-05-01,68,12,24,Algodão,Inverno
Saia Inverno Lã,2017-05-01,106,22,44,Lã,Inverno
Cropped Inverno Algodão,2017-05-01,66,14,28,Algodão,Inverno
Camisa Inverno Flanela,2017-05-01,35,24,48,Flanela,Inverno
Blusa Inverno Lã,2017-05-01,40,26,52,Lã,Inverno
Bermuda Inverno Moletom,2017-05-01,91,20,40,Moletom,Inverno
Calça Inverno Malha,2017-05-01,97,28,56,Malha,Inverno
Calça Inverno Lã,2017-05-01,62,30,60,Lã,Inverno
Vestido Inverno Lã,2017-06-01,109,32,64,Lã,Inverno
T-shirt Inverno Algodão,2017-06-01,40,12,24,Algodão,Inverno
Short Inverno Moletom,2017-06-01,88,18,36,Moletom,Inverno
Saia Inverno Lã,2017-06-01,54,22,44,Lã,Inverno
Cropped Inverno Algodão,2017-06-01,71,14,28,Algodão,Inverno
Camisa Inverno Flanela,2017-06-01,92,24,48,Flanela,Inverno
Blusa Inverno Lã,2017-06-01,65,26,52,Lã,Inverno
Bermuda Inverno Moletom,2017-06-01,79,20,40,Moletom,Inverno
Calça Inverno Malha,2017-06-01,121,28,56,Malha,Inverno
Calça Inverno Lã,2017-06-01,74,30,60,Lã,Inverno
Vestido Inverno Lã,2017-07-01,116,32,64,Lã,Inverno
T-shirt Inverno Algodão,2017-07-01,57,12,24,Algodão,Inverno
Short Inverno Moletom,2017-07-01,107,18,36,Moletom,Inverno
Saia Inverno Lã,2017-07-01,135,22,44,Lã,Inverno
Camisa Inverno Flanela,2017-07-01,17,24,48,Flanela,Inverno
Bermuda Inverno Moletom,2017-07-01,68,20,40,Moletom,Inverno
Blusa Inverno Lã,2017-07-01,109,26,52,Lã,Inverno
Calça Inverno Malha,2017-07-01,86,28,56,Malha,Inverno
Calça Inverno Lã,2017-07-01,103,30,60,Lã,Inverno
Cropped Inverno Algodão,2017-07-01,74,14,28,Algodão,Inverno
Vestido Primavera Chiffon,2017-08-01,95,30,60,Chiffon,Primavera
Calça Primavera Viscose,2017-08-01,88,20,40,Viscose,Primavera
Calça Primavera Linho,2017-08-01,128,22,44,Linho,Primavera
Bermuda Primavera Algodão,2017-08-01,101,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2017-08-01,103,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2017-08-01,81,24,48,Viscose,Primavera
Cropped Primavera Linho,2017-08-01,79,12,24,Linho,Primavera
Saia Primavera Seda,2017-08-01,80,14,28,Seda,Primavera
Short Primavera Algodão,2017-08-01,105,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2017-08-01,81,10,20,Poliéster,Primavera
Saia Primavera Seda,2017-09-01,103,14,28,Seda,Primavera
Cropped Primavera Linho,2017-09-01,156,12,24,Linho,Primavera
T-shirt Primavera Poliéster,2017-09-01,120,10,20,Poliéster,Primavera
Short Primavera Algodão,2017-09-01,85,18,36,Algodão,Primavera
Vestido Primavera Chiffon,2017-09-01,131,30,60,Chiffon,Primavera
Camisa Primavera Viscose,2017-09-01,82,24,48,Viscose,Primavera
Bermuda Primavera Algodão,2017-09-01,34,18,36,Algodão,Primavera
Calça Primavera Viscose,2017-09-01,65,20,40,Viscose,Primavera
Blusa Primavera Chiffon,2017-09-01,39,16,32,Chiffon,Primavera
Calça Primavera Linho,2017-09-01,85,22,44,Linho,Primavera
Calça Primavera Viscose,2017-10-01,96,20,40,Viscose,Primavera
Calça Primavera Linho,2017-10-01,146,22,44,Linho,Primavera
Bermuda Primavera Algodão,2017-10-01,105,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2017-10-01,89,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2017-10-01,121,24,48,Viscose,Primavera
Cropped Primavera Linho,2017-10-01,30,12,24,Linho,Primavera
Saia Primavera Seda,2017-10-01,103,14,28,Seda,Primavera
Short Primavera Algodão,2017-10-01,120,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2017-10-01,52,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2017-10-01,131,30,60,Chiffon,Primavera
Saia Verão Viscose,2017-11-01,107,12,24,Viscose,Verão
Vestido Verão Cetim,2017-11-01,85,30,60,Cetim,Verão
T-shirt Verão Poliéster,2017-11-01,116,8,16,Poliéster,Verão
Short Verão Jeans,2017-11-01,165,16,32,Jeans,Verão
Cropped Verão Algodão,2017-11-01,103,10,20,Algodão,Verão
Blusa Verão Seda,2017-11-01,105,18,36,Seda,Verão
Bermuda Verão Jeans,2017-11-01,84,15,30,Jeans,Verão
Calça Verão Cetim,2017-11-01,72,25,50,Cetim,Verão
Calça Verão Tactel,2017-11-01,123,20,40,Tactel,Verão
Camisa Verão Algodão,2017-11-01,72,22,44,Algodão,Verão
Camisa Verão Algodão,2017-12-01,100,22,44,Algodão,Verão
Calça Verão Tactel,2017-12-01,84,20,40,Tactel,Verão
Calça Verão Cetim,2017-12-01,113,25,50,Cetim,Verão
Bermuda Verão Jeans,2017-12-01,109,15,30,Jeans,Verão
Blusa Verão Seda,2017-12-01,130,18,36,Seda,Verão
Cropped Verão Algodão,2017-12-01,84,10,20,Algodão,Verão
Saia Verão Viscose,2017-12-01,91,12,24,Viscose,Verão
Short Verão Jeans,2017-12-01,70,16,32,Jeans,Verão
T-shirt Verão Poliéster,2017-12-01,86,8,16,Poliéster,Verão
Vestido Verão Cetim,2017-12-01,111,30,60,Cetim,Verão
Saia Verão Viscose,2018-01-01,122,12,24,Viscose,Verão
Cropped Verão Algodão,2018-01-01,72,10,20,Algodão,Verão
T-shirt Verão Poliéster,2018-01-01,126,8,16,Poliéster,Verão
Short Verão Jeans,2018-01-01,141,16,32,Jeans,Verão
Vestido Verão Cetim,2018-01-01,113,30,60,Cetim,Verão
Camisa Verão Algodão,2018-01-01,157,22,44,Algodão,Verão
Bermuda Verão Jeans,2018-01-01,77,15,30,Jeans,Verão
Calça Verão Tactel,2018-01-01,63,20,40,Tactel,Verão
Blusa Verão Seda,2018-01-01,48,18,36,Seda,Verão
Calça Verão Cetim,2018-01-01,146,25,50,Cetim,Verão
Calça Verão Tactel,2018-02-01,121,20,40,Tactel,Verão
Calça Verão Cetim,2018-02-01,100,25,50,Cetim,Verão
Bermuda Verão Jeans,2018-02-01,110,15,30,Jeans,Verão
Blusa Verão Seda,2018-02-01,68,18,36,Seda,Verão
Camisa Verão Algodão,2018-02-01,175,22,44,Algodão,Verão
Saia Verão Viscose,2018-02-01,106,12,24,Viscose,Verão
Short Verão Jeans,2018-02-01,105,16,32,Jeans,Verão
T-shirt Verão Poliéster,2018-02-01,124,8,16,Poliéster,Verão
Vestido Verão Cetim,2018-02-01,117,30,60,Cetim,Verão
Cropped Verão Algodão,2018-02-01,109,10,20,Algodão,Verão
Vestido Outono Lã,2018-03-01,79,28,56,Lã,Outono
Cropped Outono Viscose,2018-03-01,117,12,24,Viscose,Outono
T-shirt Outono Algodão,2018-03-01,159,10,20,Algodão,Outono
Short Outono Sarja,2018-03-01,143,18,36,Sarja,Outono
Saia Outono Couro,2018-03-01,151,14,28,Couro,Outono
Camisa Outono Lã,2018-03-01,88,24,48,Lã,Outono
Bermuda Outono Jeans,2018-03-01,74,18,36,Jeans,Outono
Calça Outono Algodão,2018-03-01,100,20,40,Algodão,Outono
Calça Outono Sarja,2018-03-01,106,22,44,Sarja,Outono
Blusa Outono Tricô,2018-03-01,137,16,32,Tricô,Outono
Vestido Outono Lã,2018-04-01,53,28,56,Lã,Outono
T-shirt Outono Algodão,2018-04-01,150,10,20,Algodão,Outono
Short Outono Sarja,2018-04-01,100,18,36,Sarja,Outono
Saia Outono Couro,2018-04-01,92,14,28,Couro,Outono
Cropped Outono Viscose,2018-04-01,74,12,24,Viscose,Outono
Camisa Outono Lã,2018-04-01,55,24,48,Lã,Outono
Bermuda Outono Jeans,2018-04-01,130,18,36,Jeans,Outono
Calça Outono Algodão,2018-04-01,107,20,40,Algodão,Outono
Calça Outono Sarja,2018-04-01,67,22,44,Sarja,Outono
Blusa Outono Tricô,2018-04-01,67,16,32,Tricô,Outono
Saia Inverno Lã,2018-05-01,96,22,44,Lã,Inverno
T-shirt Inverno Algodão,2018-05-01,156,12,24,Algodão,Inverno
Short Inverno Moletom,2018-05-01,98,18,36,Moletom,Inverno
Cropped Inverno Algodão,2018-05-01,61,14,28,Algodão,Inverno
Vestido Inverno Lã,2018-05-01,99,32,64,Lã,Inverno
Blusa Inverno Lã,2018-05-01,98,26,52,Lã,Inverno
Bermuda Inverno Moletom,2018-05-01,26,20,40,Moletom,Inverno
Calça Inverno Malha,2018-05-01,105,28,56,Malha,Inverno
Calça Inverno Lã,2018-05-01,100,30,60,Lã,Inverno
Camisa Inverno Flanela,2018-05-01,128,24,48,Flanela,Inverno
Vestido Inverno Lã,2018-06-01,163,32,64,Lã,Inverno
T-shirt Inverno Algodão,2018-06-01,141,12,24,Algodão,Inverno
Short Inverno Moletom,2018-06-01,99,18,36,Moletom,Inverno
Saia Inverno Lã,2018-06-01,74,22,44,Lã,Inverno
Cropped Inverno Algodão,2018-06-01,185,14,28,Algodão,Inverno
Camisa Inverno Flanela,2018-06-01,110,24,48,Flanela,Inverno
Blusa Inverno Lã,2018-06-01,108,26,52,Lã,Inverno
Bermuda Inverno Moletom,2018-06-01,107,20,40,Moletom,Inverno
Calça Inverno Malha,2018-06-01,114,28,56,Malha,Inverno
Calça Inverno Lã,2018-06-01,104,30,60,Lã,Inverno
Vestido Inverno Lã,2018-07-01,91,32,64,Lã,Inverno
T-shirt Inverno Algodão,2018-07-01,92,12,24,Algodão,Inverno
Short Inverno Moletom,2018-07-01,108,18,36,Moletom,Inverno
Saia Inverno Lã,2018-07-01,93,22,44,Lã,Inverno
Cropped Inverno Algodão,2018-07-01,88,14,28,Algodão,Inverno
Camisa Inverno Flanela,2018-07-01,112,24,48,Flanela,Inverno
Blusa Inverno Lã,2018-07-01,102,26,52,Lã,Inverno
Bermuda Inverno Moletom,2018-07-01,155,20,40,Moletom,Inverno
Calça Inverno Malha,2018-07-01,30,28,56,Malha,Inverno
Calça Inverno Lã,2018-07-01,143,30,60,Lã,Inverno
Vestido Primavera Chiffon,2018-08-01,147,30,60,Chiffon,Primavera
T-shirt Primavera Poliéster,2018-08-01,48,10,20,Poliéster,Primavera
Short Primavera Algodão,2018-08-01,100,18,36,Algodão,Primavera
Saia Primavera Seda,2018-08-01,99,14,28,Seda,Primavera
Cropped Primavera Linho,2018-08-01,68,12,24,Linho,Primavera
Blusa Primavera Chiffon,2018-08-01,87,16,32,Chiffon,Primavera
Bermuda Primavera Algodão,2018-08-01,78,18,36,Algodão,Primavera
Calça Primavera Linho,2018-08-01,164,22,44,Linho,Primavera
Calça Primavera Viscose,2018-08-01,139,20,40,Viscose,Primavera
Camisa Primavera Viscose,2018-08-01,149,24,48,Viscose,Primavera
Saia Primavera Seda,2018-09-01,133,14,28,Seda,Primavera
Vestido Primavera Chiffon,2018-09-01,78,30,60,Chiffon,Primavera
T-shirt Primavera Poliéster,2018-09-01,96,10,20,Poliéster,Primavera
Short Primavera Algodão,2018-09-01,127,18,36,Algodão,Primavera
Cropped Primavera Linho,2018-09-01,75,12,24,Linho,Primavera
Camisa Primavera Viscose,2018-09-01,134,24,48,Viscose,Primavera
Blusa Primavera Chiffon,2018-09-01,105,16,32,Chiffon,Primavera
Bermuda Primavera Algodão,2018-09-01,101,18,36,Algodão,Primavera
Calça Primavera Linho,2018-09-01,134,22,44,Linho,Primavera
Calça Primavera Viscose,2018-09-01,126,20,40,Viscose,Primavera
Vestido Primavera Chiffon,2018-10-01,102,30,60,Chiffon,Primavera
T-shirt Primavera Poliéster,2018-10-01,148,10,20,Poliéster,Primavera
Short Primavera Algodão,2018-10-01,81,18,36,Algodão,Primavera
Saia Primavera Seda,2018-10-01,132,14,28,Seda,Primavera
Cropped Primavera Linho,2018-10-01,131,12,24,Linho,Primavera
Camisa Primavera Viscose,2018-10-01,104,24,48,Viscose,Primavera
Blusa Primavera Chiffon,2018-10-01,124,16,32,Chiffon,Primavera
Bermuda Primavera Algodão,2018-10-01,76,18,36,Algodão,Primavera
Calça Primavera Linho,2018-10-01,142,22,44,Linho,Primavera
Calça Primavera Viscose,2018-10-01,109,20,40,Viscose,Primavera
Vestido Verão Cetim,2018-11-01,99,30,60,Cetim,Verão
T-shirt Verão Poliéster,2018-11-01,146,8,16,Poliéster,Verão
Short Verão Jeans,2018-11-01,94,16,32,Jeans,Verão
Saia Verão Viscose,2018-11-01,73,12,24,Viscose,Verão
Cropped Verão Algodão,2018-11-01,68,10,20,Algodão,Verão
Blusa Verão Seda,2018-11-01,133,18,36,Seda,Verão
Bermuda Verão Jeans,2018-11-01,77,15,30,Jeans,Verão
Calça Verão Cetim,2018-11-01,168,25,50,Cetim,Verão
Calça Verão Tactel,2018-11-01,53,20,40,Tactel,Verão
Camisa Verão Algodão,2018-11-01,167,22,44,Algodão,Verão
Camisa Verão Algodão,2018-12-01,122,22,44,Algodão,Verão
Calça Verão Tactel,2018-12-01,113,20,40,Tactel,Verão
Calça Verão Cetim,2018-12-01,100,25,50,Cetim,Verão
Bermuda Verão Jeans,2018-12-01,128,15,30,Jeans,Verão
Blusa Verão Seda,2018-12-01,115,18,36,Seda,Verão
Cropped Verão Algodão,2018-12-01,150,10,20,Algodão,Verão
Saia Verão Viscose,2018-12-01,120,12,24,Viscose,Verão
Short Verão Jeans,2018-12-01,121,16,32,Jeans,Verão
T-shirt Verão Poliéster,2018-12-01,106,8,16,Poliéster,Verão
Vestido Verão Cetim,2018-12-01,115,30,60,Cetim,Verão
Short Verão Jeans,2019-01-01,127,16,32,Jeans,Verão
Saia Verão Viscose,2019-01-01,66,12,24,Viscose,Verão
Vestido Verão Cetim,2019-01-01,77,30,60,Cetim,Verão
T-shirt Verão Poliéster,2019-01-01,140,8,16,Poliéster,Verão
Cropped Verão Algodão,2019-01-01,123,10,20,Algodão,Verão
Camisa Verão Algodão,2019-01-01,113,22,44,Algodão,Verão
Blusa Verão Seda,2019-01-01,119,18,36,Seda,Verão
Bermuda Verão Jeans,2019-01-01,129,15,30,Jeans,Verão
Calça Verão Cetim,2019-01-01,102,25,50,Cetim,Verão
Calça Verão Tactel,2019-01-01,95,20,40,Tactel,Verão
Vestido Verão Cetim,2019-02-01,125,30,60,Cetim,Verão
T-shirt Verão Poliéster,2019-02-01,90,8,16,Poliéster,Verão
Short Verão Jeans,2019-02-01,131,16,32,Jeans,Verão
Saia Verão Viscose,2019-02-01,68,12,24,Viscose,Verão
Cropped Verão Algodão,2019-02-01,150,10,20,Algodão,Verão
Camisa Verão Algodão,2019-02-01,134,22,44,Algodão,Verão
Blusa Verão Seda,2019-02-01,127,18,36,Seda,Verão
Bermuda Verão Jeans,2019-02-01,149,15,30,Jeans,Verão
Calça Verão Cetim,2019-02-01,170,25,50,Cetim,Verão
Calça Verão Tactel,2019-02-01,151,20,40,Tactel,Verão
Vestido Outono Lã,2019-03-01,65,28,56,Lã,Outono
T-shirt Outono Algodão,2019-03-01,82,10,20,Algodão,Outono
Short Outono Sarja,2019-03-01,102,18,36,Sarja,Outono
Saia Outono Couro,2019-03-01,121,14,28,Couro,Outono
Cropped Outono Viscose,2019-03-01,136,12,24,Viscose,Outono
Blusa Outono Tricô,2019-03-01,99,16,32,Tricô,Outono
Bermuda Outono Jeans,2019-03-01,127,18,36,Jeans,Outono
Calça Outono Algodão,2019-03-01,99,20,40,Algodão,Outono
Calça Outono Sarja,2019-03-01,103,22,44,Sarja,Outono
Camisa Outono Lã,2019-03-01,79,24,48,Lã,Outono
Camisa Outono Lã,2019-04-01,94,24,48,Lã,Outono
Calça Outono Sarja,2019-04-01,81,22,44,Sarja,Outono
Calça Outono Algodão,2019-04-01,93,20,40,Algodão,Outono
Bermuda Outono Jeans,2019-04-01,154,18,36,Jeans,Outono
Blusa Outono Tricô,2019-04-01,94,16,32,Tricô,Outono
Cropped Outono Viscose,2019-04-01,201,12,24,Viscose,Outono
Saia Outono Couro,2019-04-01,137,14,28,Couro,Outono
Short Outono Sarja,2019-04-01,128,18,36,Sarja,Outono
T-shirt Outono Algodão,2019-04-01,97,10,20,Algodão,Outono
Vestido Outono Lã,2019-04-01,144,28,56,Lã,Outono
Short Inverno Moletom,2019-05-01,106,18,36,Moletom,Inverno
Saia Inverno Lã,2019-05-01,127,22,44,Lã,Inverno
Vestido Inverno Lã,2019-05-01,200,32,64,Lã,Inverno
T-shirt Inverno Algodão,2019-05-01,121,12,24,Algodão,Inverno
Cropped Inverno Algodão,2019-05-01,158,14,28,Algodão,Inverno
Camisa Inverno Flanela,2019-05-01,103,24,48,Flanela,Inverno
Blusa Inverno Lã,2019-05-01,123,26,52,Lã,Inverno
Bermuda Inverno Moletom,2019-05-01,177,20,40,Moletom,Inverno
Calça Inverno Malha,2019-05-01,106,28,56,Malha,Inverno
Calça Inverno Lã,2019-05-01,179,30,60,Lã,Inverno
Vestido Inverno Lã,2019-06-01,146,32,64,Lã,Inverno
T-shirt Inverno Algodão,2019-06-01,108,12,24,Algodão,Inverno
Short Inverno Moletom,2019-06-01,144,18,36,Moletom,Inverno
Saia Inverno Lã,2019-06-01,154,22,44,Lã,Inverno
Cropped Inverno Algodão,2019-06-01,144,14,28,Algodão,Inverno
Blusa Inverno Lã,2019-06-01,78,26,52,Lã,Inverno
Bermuda Inverno Moletom,2019-06-01,104,20,40,Moletom,Inverno
Calça Inverno Malha,2019-06-01,118,28,56,Malha,Inverno
Calça Inverno Lã,2019-06-01,124,30,60,Lã,Inverno
Camisa Inverno Flanela,2019-06-01,145,24,48,Flanela,Inverno
Saia Inverno Lã,2019-07-01,131,22,44,Lã,Inverno
Vestido Inverno Lã,2019-07-01,86,32,64,Lã,Inverno
T-shirt Inverno Algodão,2019-07-01,138,12,24,Algodão,Inverno
Short Inverno Moletom,2019-07-01,145,18,36,Moletom,Inverno
Cropped Inverno Algodão,2019-07-01,143,14,28,Algodão,Inverno
Camisa Inverno Flanela,2019-07-01,159,24,48,Flanela,Inverno
Blusa Inverno Lã,2019-07-01,152,26,52,Lã,Inverno
Bermuda Inverno Moletom,2019-07-01,141,20,40,Moletom,Inverno
Calça Inverno Malha,2019-07-01,125,28,56,Malha,Inverno
Calça Inverno Lã,2019-07-01,78,30,60,Lã,Inverno
Vestido Primavera Chiffon,2019-08-01,140,30,60,Chiffon,Primavera
T-shirt Primavera Poliéster,2019-08-01,134,10,20,Poliéster,Primavera
Short Primavera Algodão,2019-08-01,136,18,36,Algodão,Primavera
Saia Primavera Seda,2019-08-01,90,14,28,Seda,Primavera
Cropped Primavera Linho,2019-08-01,96,12,24,Linho,Primavera
Camisa Primavera Viscose,2019-08-01,160,24,48,Viscose,Primavera
Blusa Primavera Chiffon,2019-08-01,127,16,32,Chiffon,Primavera
Bermuda Primavera Algodão,2019-08-01,149,18,36,Algodão,Primavera
Calça Primavera Linho,2019-08-01,130,22,44,Linho,Primavera
Calça Primavera Viscose,2019-08-01,130,20,40,Viscose,Primavera
T-shirt Primavera Poliéster,2019-09-01,157,10,20,Poliéster,Primavera
Short Primavera Algodão,2019-09-01,114,18,36,Algodão,Primavera
Saia Primavera Seda,2019-09-01,132,14,28,Seda,Primavera
Cropped Primavera Linho,2019-09-01,116,12,24,Linho,Primavera
Vestido Primavera Chiffon,2019-09-01,117,30,60,Chiffon,Primavera
Blusa Primavera Chiffon,2019-09-01,120,16,32,Chiffon,Primavera
Bermuda Primavera Algodão,2019-09-01,137,18,36,Algodão,Primavera
Calça Primavera Linho,2019-09-01,116,22,44,Linho,Primavera
Calça Primavera Viscose,2019-09-01,168,20,40,Viscose,Primavera
Camisa Primavera Viscose,2019-09-01,103,24,48,Viscose,Primavera
Vestido Primavera Chiffon,2019-10-01,125,30,60,Chiffon,Primavera
